"F1-10"	"F1-11"	"F1-12"	"F1-13"	"F1-14"	"F1-15"	"F1-16"	"F1-17"	"F1-18"	"F1-19"	"F1-20"	"F1-21"	"F1-22"	"F1-7"	"F1-8"	"F1-9"	"F3-10"	"F3-11"	"F3-12"	"F3-7"	"F3-8"	"F3-9"
"Lachnoanaerobaculum umeaense"	2.70020489050716	2.37731357486102	2.94620576795481	2.83673457429304	2.37125894854644	2.74452212305862	2.9908024279723	2.89536570055913	3.06287000919263	2.22795377736997	3.02150495977873	3.00736565973625	2.97664121209212	2.25045125573293	2.62744690908828	1.94385756200286	2.91523264121623	2.4415192511796	3.08675836231887	3.39939608535691	2.81089432908266	3.0306249124849
"Anaerotignum propionicum"	2.58980632363685	2.78769326069386	3.0094539209453	2.82323458717307	2.59170122025123	2.83938364268428	2.8194533209017	2.7637057156138	3.0201993607118	2.29720888778478	2.99964404697449	2.98055533754525	3.03809871654607	2.36147293849823	2.44600853705792	2.01844929924426	2.85096935198052	2.44549536183137	2.89915270333223	2.73971125358481	2.39027640923513	2.75431468573691
"Wujia chipingensis"	2.58883833121232	2.47385910009686	2.99230303025725	2.81399567495871	2.41849246173019	2.86113751718114	3.04103872699167	2.80779417753718	2.99550670812265	2.45939415670228	3.27578621599184	3.08150395187444	3.02810405170033	2.34424487616019	2.65165406521288	2.02315048935056	2.95136581480545	2.59568289630762	3.33445510953724	3.69414276106683	2.71503942024026	3.40015565050594
"Herbinix luporum"	2.63215125196876	2.1323411939372	2.95487258258115	2.73131523618707	2.3907730006975	2.84116461903158	2.926519294344	2.74611859069835	2.97438728383929	2.29491658517765	2.9933979402245	3.10516434783758	3.04426535033135	2.05554848126649	2.3948493228266	2.02548213740598	2.79896013244756	2.43616050249476	2.97307550665934	3.34716538252596	2.57627475146432	2.94985289470486
"Pseudobutyrivibrio xylanivorans"	2.440048846268	2.1323411939372	2.81752419426433	2.62007634446355	2.29377444030563	2.54780192536063	2.81363267119385	2.55497214568005	2.7834277516333	2.26642153156886	3.03181472047666	2.89642433023046	2.80739181997818	2.10092365186372	2.47704646277247	1.87398300660018	2.75341271118203	2.41261800548413	2.83818141866785	2.62035202328087	2.31032465583164	3.51117126863977
"Ruthenibacterium lactatiformans"	4.57127380090178	4.23497384789469	5.09143143849216	5.11062263095267	4.8973569644089	6.04854318947015	5.67161702679929	5.73389273891961	5.03312291684969	5.61718597128917	4.93074035350996	4.30116622922861	5.17950106643047	4.28128867204912	5.55799133038243	4.61215946401346	5.25182331445821	5.7701509794535	5.50598473996207	5.55505170934514	5.09400536104542	5.70004714084685
"Flavonifractor plautii"	4.75133218400628	5.22691680077383	4.86829167270971	4.97775015944807	5.36490082788397	5.3571932148811	4.62504524870403	4.42402415157738	4.74744228161082	4.96634207469951	4.81049899420103	4.75778367361839	5.05698707387965	4.69346043458956	5.27308405043839	4.95449805027482	5.2209275407209	5.30643632417145	5.39909619958987	5.23618473206905	4.9965254317696	5.47585558831917
"Anaerotruncus colihominis"	3.94601683675887	3.89445843687878	3.95610567561932	4.57201589415768	4.55116097734678	4.26956208226892	4.33931263446333	4.0381704837583	4.48285294755745	4.14959046624417	3.65196104019186	3.83882806003579	3.93339600043657	3.83946947542938	3.87015486788807	3.29097625344549	4.16481283767082	4.15948492513684	5.28039731870165	4.68148795204532	4.00041386940748	4.52936012661966
"Ruminococcus bicirculans"	2.29181629906965	2.22394306603631	2.52811716405658	2.54671928349106	2.10399411294455	2.38181164146989	2.49737979511484	2.46474491696387	2.5095865704286	1.78909497917691	2.67277381942021	2.40169677243793	2.83842906067811	2.58188795291666	4.21583495660725	3.52569195850802	4.97666118761968	4.90269857089266	2.80415308569422	2.89357193820454	2.64183461656965	4.96650798802731
"Ruminococcus champanellensis"	2.7719293292936	2.34445710734476	2.93487370011127	2.85304001829864	2.34023834348755	2.78528818291191	2.59157747335049	2.62601465820527	2.73119142715511	2.51125286964692	2.71426672106616	2.72270015245519	2.75650387753531	2.15848508619747	2.70041024235735	1.86059444564699	3.18206233528807	3.06862637172678	2.81579463800827	2.73971125358481	2.42099489254997	2.97900122298373
"Ruminococcus albus"	2.3641734056816	1.86557341352188	2.60388662337402	2.45441291879401	1.98696165902272	2.50948989561267	2.42249943070808	2.30365124313215	2.33708736534835	1.9628271341864	2.41773305188079	2.43328988588269	2.44587136133652	1.58600378605321	2.20912028817046	1.73989669053431	2.85203360562313	2.77512832357944	2.30108791562658	2.58743393612428	1.98366817243008	2.8700987890593
"Ruminococcus bovis"	2.26610563205392	1.83907887885019	2.31965368839577	2.06665489217687	1.84528720184635	2.00766469883971	2.23997064787364	2.15990968597771	2.2200207166786	1.63089157520914	2.1352658065641	2.08912882522059	2.03403803591657	1.8384984352146	1.97118715870546	2.02548213740598	2.42708133529896	2.20263553628626	2.08688163758411	0	1.91106913580211	2.27477485322778
"Faecalibacterium sp. IP118"	3.75650335175941	3.19111877931963	3.43103592551895	3.45823250994613	2.94467435682936	3.91991987375264	4.01022598915345	3.88934382750156	4.0624495149424	2.71921841748536	3.6549252220431	2.9213920901831	3.758030016444	2.79339839257269	3.57758173060048	2.33938677258066	4.24977006108188	4.1093386448394	3.46172958678178	3.31423269547711	4.10087536977572	4.09210133977481
"Faecalibacterium sp. HTFF"	2.66426356823393	2.53847991125938	2.67750387041764	2.75132147374966	2.6532109272559	3.08998933200098	3.04449612309718	2.99236100348278	3.13286064294235	2.52092088615851	2.71334545597153	2.58048264543642	2.89376344902081	2.59193875615615	2.69500364388273	2.14997813466627	3.8700266636422	4.24690066574139	3.21045231093258	3.11744718630058	4.66030552520633	3.15754395464943
"Faecalibacterium sp. IP329"	2.64255079419866	2.75247741187763	2.85509409750738	3.03052628987153	2.67743334524191	3.36542468231548	2.99724911668711	2.8874613941113	3.02827602370192	2.54997637889282	2.74146575108045	2.6596546506358	2.81311628896166	2.90224862218925	2.68906952822066	1.95219567542272	3.31724791509317	3.34206185158581	3.61489582852437	3.1711717437667	3.60876500767915	3.26424951790326
"Faecalibacterium sp. I3389"	2.71276927074728	2.39285434904414	2.79538584241893	2.79490645728358	2.40331166553633	2.94883446496248	2.99724911668711	2.92010418088374	3.06450898914616	2.5855280262381	2.78345438630488	2.84350143972667	2.88980957207809	2.32262642504916	2.85853302020089	1.88376033594492	3.49689649113057	3.56806389113498	3.26273105433496	2.47039669132333	3.78144852132676	3.20704469654825
"Faecalibacterium sp. I3333"	2.56493467711906	2.39791343641646	2.66560491714645	2.66012848223478	2.43316048560453	2.92016742879784	2.851039931982	2.81844311574726	2.93928596933118	2.36677429693478	2.6108456830996	2.52987950471823	2.74942794314654	2.52550806226668	2.48886606697308	2.03695622144533	3.21966134129726	3.43037685774504	3.46431764178155	2.38851612673995	3.78425412726363	3.26343667511531
"Faecalibacterium sp. I4179"	2.52417175088512	2.50442846099395	2.84844516080013	2.78441338621317	2.47962260375798	2.93222271486905	2.59804312262018	2.63680226106754	2.57233767768223	2.56994986067507	2.80860870038004	2.72191700619347	2.61996759306455	2.37477964338955	2.67553222494404	2.07592064486023	3.47212353448534	3.48450656716194	3.74411977043897	3.4011501147925	3.85102872359358	3.17733226221608
"Faecalibacterium sp. I4384"	2.74097302397174	2.73082603930291	2.94131507194314	2.75867529871789	2.53851368046059	2.90278439701343	2.75740665762038	2.63680226106754	2.71594879650056	2.53963425834555	2.76787547216162	2.84880100335409	2.84990021818431	2.34774559636406	2.70130483433574	2.55198997924862	4.45865610502187	4.83729233438797	3.34899764136703	3.02397046863569	5.27079248419831	3.18226421769289
"Faecalibacterium sp. I2392"	2.76809816770716	2.44775322644048	2.56707044051151	2.48159414593976	2.27342371403462	2.82348044968866	3.05916804714851	2.88845733569029	3.09031038544534	2.02269240966854	2.84889506324919	2.77567012126727	2.8627702986973	2.03455021604023	2.80178080016381	1.80635514464637	3.32447082756126	3.23559629698521	2.61946901780262	0	3.52084538889188	3.1890761935349
"Faecalibacterium prausnitzii"	3.78843315900917	3.52363360573457	4.13895744368063	3.94756938434186	3.67374724013329	3.92981360770489	3.91008502882736	3.92961083645375	3.92456649903702	3.66729701304868	3.85829636421763	3.98981292846706	3.89987281540634	3.2582186567575	3.883986754906	3.40854162470836	4.85006408405639	5.14381076319774	4.48188579246183	4.05110433158578	5.57327838000461	4.35707366800271
"Dysosmobacter welbionis"	4.08484382777865	4.51040126375342	3.58985330622255	3.57145800196534	3.48186373780931	3.79514676947578	3.2967781792351	3.31120316843746	3.33242550635359	3.29615050861011	3.56873315699298	3.34610526347224	3.58256800718987	4.21684407015809	5.00324596462002	3.13145826471781	5.01081558654681	4.80244599901997	5.24492791944951	3.42829190989315	3.24992900286442	4.97286059606301
