"BulkRAG1"	"BulkRAG2"	"BulkRAG3"	"BulkTP1"	"BulkTP2"	"BulkTP3"	"RAG1"	"RAG10"	"RAG12"	"RAG2"	"RAG3"	"RAG4"	"RAG5"	"RAG6"	"RAG7"	"RAG8"	"RTP1"	"RTP10"	"RTP11"	"RTP12"	"RTP2"	"RTP3"	"RTP4"	"RTP5"	"RTP6"	"RTP7"	"RTP9"
"G12-WMSP1"	0	2.63761330616622	3.06566402533242	0	0	0	0	3.05712330885504	0	2.63303606975272	2.9122036875283	0	0	2.42612218981794	2.85376582355575	0	0	0	0	0	0	0	0	0	0	0	0
"Ga0074140"	0	0	1.6951015323809	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Gaiella"	3.5979999113338	3.68246896320723	3.74519305525588	4.23199670097659	4.20516665194203	4.30690557906018	3.77374885001697	3.79271981378899	3.65543558603276	3.66070678824388	3.80502214698181	3.89108862073689	3.98190013837237	3.23364354464426	3.77149669295411	2.95917855017903	4.24969410912078	4.21076188879639	4.24144751129049	4.2754894186279	4.21520093487289	4.19213315400075	4.23082032074336	4.18906072755178	4.159599689533	4.15745699272225	4.20183639921475
"Gemmata"	2.2639675119434	0	0	0	0	0	2.52788496856193	2.33316191892861	0	2.18591108890653	2.2532289968535	2.06105504959317	2.53292262539711	1.84696329334325	2.17577654864737	1.9159954346287	0	0	0	0	0	0	0	0	0	0	0
"Gemmatimonas"	3.23836595665925	2.95623026363416	0	0	0	2.35087188409635	3.26009808604222	3.00070379446828	2.83600386669478	2.4250385846249	0	3.17303599055431	2.53439299535673	2.59188818503998	2.44250319901895	0	0	0	0	0	2.36655967447223	0	0	0	0	0	0
"Gemmatirosa"	0	2.84029143623412	0	0	0	0	2.40564782522497	2.9306958843733	0	0	3.15136537645748	2.57206820750005	2.54740699836524	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Geobacillus"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.43761717683868	0	0	0	0	0	0	0
"Geobacter"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.23495214861445	0	0	0	0	0	0	0
"Geodermatophilus"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.99243248965187	0	0	0	0	0	0	0	0	0	0	0
"Gluconacetobacter"	0	0	0	0	0	0	0	2.5409948514368	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Granulicella"	0	0	0	0	0	0	0	0	0	0	2.15034056453783	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Haliangium"	2.73404264971968	2.71615431974793	2.75793844159147	3.0842262097676	2.91010696919547	2.99082432634605	2.75019573331503	2.77260925109604	2.8262920062866	2.91723231898303	2.88688051954045	2.82399702276292	3.0237065842337	2.31328688379742	2.89898558689316	2.63267078838741	2.85559764509373	2.91701720394286	2.86759060468185	2.94859659255094	2.97013830351137	2.90289327400081	0	0	2.96309182858964	2.8572445563148	2.95958268232272
"Heliimonas"	0	0	0	2.39961062917899	0	0	0	2.39663362538885	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.46102541343113
"HSB_OF53-F07"	0	0	2.56156806450272	3.07039089361673	2.97986235320513	2.7595566171128	3.19559859571438	3.17652798520763	3.2857547306982	3.11785212130616	3.17078051907023	0	3.33418039939259	0	3.25503486457306	0	2.94722423510885	2.81303595312738	2.78569458450603	2.80031810923451	2.8596689284674	2.98397285572727	2.89818603581548	2.82092763141125	2.9741834051519	2.98004759334546	2.72533133068873
"Hydrogenispora"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.32220426032424	0
"Hyphomicrobium"	0	2.59594214834656	0	0	3.20727783817162	3.17831978547574	2.65566906059205	2.80607072169925	0	2.68025339871968	2.90141110980298	2.7401297511578	0	0	0	0	3.05679626717363	2.81799178217472	0	0	3.15186103556765	2.93736263526843	0	3.17900781296762	0	2.78590936433485	0
"I-8"	0	0	0	0	0	0	0	0	0	0	0.940134755507565	0	1.36137512314096	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Iamia"	0	1.73960412568349	0	0	0	0	2.07696889975194	0	2.26223722899313	0	2.1666171821361	0	0	0	0	0	1.65635832988883	0	0	0	0	0	0	0	0	0	0
"Ilumatobacter"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.42789233432565	0	0
"Intrasporangium"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.74577500828883
"Jatrophihabitans"	3.28718783694581	2.79401008074471	3.34245115223685	0	0	0	3.03804619543722	0	3.23341566967681	0	3.06075013410701	2.95616791282104	2.9869920762933	0	3.00401240794697	0	0	0	0	0	0	0	0	0	0	0	0
"JCM_18997"	0	0	0	0	0	0	1.96411545985136	2.00785325007078	0	0	1.90960054476723	0	0	0	1.85972769377229	0	0	0	0	0	0	0	0	0	0	0	0
"Jeotgalibacillus"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.10454797311759	0	0	0	0	0	0
"JGI_0001001-H03"	0	0	0	0	0	0	2.84365698825319	2.91352751578017	0	0	0	2.7765158966919	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Kallotenue"	0	0	0	0	0	0	0	0	0	1.8772226957511	0	1.69054907046547	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Kitasatospora"	2.86261665753227	2.98564629632353	1.66674180281774	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Kouleothrix"	0	2.75538420443171	0	0	0	0	2.94439383530782	2.39810740883732	0	2.57920993358208	2.85393618053694	2.75355961973355	2.812158179245	0	0	2.5478787206548	0	0	0	0	2.56482698436025	0	0	0	0	0	0
"Kribbella"	2.73514149515804	2.28549870383237	0	2.92478514990845	2.89741086974656	2.89590150851251	2.17973719242503	0	0	0	2.26247765827799	0	0	0	0	0	3.07552960195844	2.89163079037723	2.97540673410596	2.88843988003874	2.80149444098213	2.74463928699235	3.12487481546279	2.76710435699019	2.71683169951384	2.84676412421424	2.84035942361111
"Ktedonobacter"	0	3.00758173298924	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Lachnotalea"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.5793873862007	0	0	0	0	0	0
"Lacunisphaera"	0	0	0	0	0	0	2.03345022088838	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Legionella"	0	0	0	0	2.41085847699273	0	0	0	0	0	2.15739108329691	0	0	0	0	0	2.44984629308328	2.5616976855567	2.53293258577632	0	2.61817328862956	2.73514611964973	2.69067030550041	2.61975277530943	2.72662379765664	2.61267666834199	2.57090403847076
"Leptolyngbya_EcFYyyy-00"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.41865402248232	0	0	0	0	0	0	0	0	0	0	0	0
"Limisphaera"	0	0	0	0	0	0	0	2.49760496771361	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Limnobacter"	0	0	0	0	0	0	0	0	3.06666989143111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Luedemannella"	0	0	0	0	2.96959360978332	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.01307410110213	0	0	0	2.94183974714079	0	0
"Luteolibacter"	0	0	0	0	0	0	0	0	0	2.4706328349006	0	2.00035673942039	0	0	0	0	2.0063584336083	1.98169390514099	0	2.04580764280731	0	1.86957396206915	1.9351876331738	2.3245718282832	2.25112950256205	2.47101432144259	2.02351645653133
"Lysinibacillus"	0	0	2.30762036928121	0	0	0	2.37339515746798	0	0	1.97889419847653	2.11326150253506	0	0	0	2.40991389822217	0	0	0	0	0	0	0	0	0	0	0	0
"Lysobacter"	0	0	0	0	3.23549632138337	3.26076566234376	0	0	0	0	0	0	0	0	0	0	3.02244108246445	3.16318120892651	2.93589200312856	3.18694142678846	2.91373503224429	0	3.25044541432394	2.91782843847023	3.19135803934963	3.07970431588346	2.96009096370306
"Marmoricola"	3.12662802110877	3.04246622283177	3.2261489732494	3.20782519993823	0	3.17175626913238	2.85161459990875	2.83445225214447	0	0	2.78880602444655	2.73715443598143	0	0	0	0	0	2.78281520871894	3.26477304232208	3.18286617837702	3.04891831805115	3.23156137304499	0	2.86109460502732	3.07015783705788	3.15979757430155	3.16833067351177
