"C1.sm.bam"	"C2.sm.bam"	"C3.sm.bam"	"C4.sm.bam"	"C5.sm.bam"	"T1.sm.bam"	"T2.sm.bam"	"T3.sm.bam"	"T4.sm.bam"	"T5.sm.bam"
"Solyc01g006130.2"	0	0	1	2	0	1	0	0	0	1
"Solyc01g006140.2"	0	0	0	0	0	0	0	0	0	1
"Solyc01g006150.2"	0	1	0	0	0	0	0	0	0	0
"Solyc01g006160.2"	226	175	132	251	233	118	153	194	144	253
"Solyc01g006170.2"	0	0	0	1	0	0	0	0	0	0
"Solyc01g006180.2"	3	3	1	4	5	4	0	3	3	3
"Solyc01g006190.2"	256	251	160	428	205	254	39	131	103	166
"Solyc01g006200.2"	77	65	38	57	44	76	314	85	63	158
"Solyc01g006210.2"	3	0	1	1	0	0	0	1	1	2
"Solyc01g006220.2"	5	4	2	7	7	2	1	0	1	2
"Solyc01g006230.2"	19	23	11	28	15	17	1	10	7	7
"Solyc01g006240.2"	0	0	0	0	0	0	0	0	0	1
"Solyc01g006260.2"	14	10	7	13	6	13	1	7	6	11
"Solyc01g006270.2"	0	0	0	0	1	0	0	0	0	0
"Solyc01g006280.2"	67	70	55	139	78	47	13	26	21	64
"Solyc01g006290.2"	0	0	0	1	3	0	2	1	2	0
"Solyc01g006340.2"	0	1	0	3	0	0	0	1	0	0
"Solyc01g006350.2"	277	274	150	331	205	148	18	53	30	70
"Solyc01g006360.2"	33	115	61	149	116	18	17	22	6	30
"Solyc01g006370.2"	0	2	0	0	1	0	0	1	0	0
"Solyc01g006420.2"	0	0	1	0	0	0	0	0	0	0
"Solyc01g006430.2"	11312	13417	11257	18111	13913	8158	4482	11121	5761	15113
"Solyc01g006440.1"	2	4	0	4	2	1	0	2	0	8
"Solyc01g006450.2"	9	10	3	10	16	7	2	2	2	4
"Solyc01g006480.2"	2	1	1	2	3	0	1	0	1	4
"Solyc01g006490.2"	3	9	4	2	5	0	0	0	3	4
"Solyc01g006500.2"	11	10	6	8	9	4	0	3	1	2
"Solyc01g006510.2"	8	16	8	15	16	16	1	6	2	4
"Solyc01g006540.2"	1	0	0	0	0	1	0	0	0	1
"Solyc01g006550.2"	0	1	0	0	1	0	0	0	0	0
"Solyc01g006560.2"	45	31	28	43	34	34	17	49	34	83
"Solyc01g006580.2"	0	0	0	1	4	0	0	0	0	0
"Solyc01g006630.2"	2	2	1	3	7	1	0	1	0	2
"Solyc01g006650.1"	12	17	10	27	21	4	1	4	4	6
"Solyc01g006660.1"	11	16	10	12	9	19	3	7	2	5
"Solyc01g006670.2"	0	1	0	0	1	1	0	0	0	0
"Solyc01g006680.2"	57	52	46	69	39	38	8	26	15	27
"Solyc01g006690.2"	0	0	1	0	0	0	0	0	0	0
"Solyc01g006700.2"	32	34	20	47	26	13	5	10	4	9
"Solyc01g006710.2"	14	5	5	7	7	4	0	2	5	5
"Solyc01g006730.2"	2746	3339	1646	3644	2194	1614	163	714	408	684
"Solyc01g006740.2"	7	1	2	3	0	5	1	1	0	3
"Solyc01g006750.2"	43816	32195	25884	55411	31795	29788	48884	37760	27938	39975
"Solyc01g006760.2"	5985	5891	4911	7340	5080	5582	22139	8476	8218	16547
"Solyc01g006770.1"	0	0	0	0	0	0	0	0	2	0
"Solyc01g006780.2"	1324	1922	1556	2786	1587	966	941	2232	842	2937
"Solyc01g006790.2"	3769	3669	2884	5502	3174	3221	2203	4587	2791	5890
"Solyc01g006800.2"	2	1	0	5	2	0	0	4	1	3
"Solyc01g006810.2"	769	672	508	1388	918	408	54	350	296	490
"Solyc01g006820.2"	0	0	0	0	0	0	0	0	0	1
"Solyc01g006860.2"	2	1	0	1	0	2	0	3	0	1
"Solyc01g006870.2"	1	0	0	1	0	0	1	0	0	0
"Solyc01g006880.2"	18	24	12	23	8	6	2	2	7	7
"Solyc01g006890.2"	136	141	100	147	122	100	10	47	31	101
"Solyc01g006900.2"	1	1	0	2	0	1	2	3	0	3
"Solyc01g006920.2"	1	0	0	0	0	0	0	0	0	0
"Solyc01g006930.2"	0	0	0	0	0	0	0	0	0	1
"Solyc01g006940.2"	0	0	0	0	0	0	0	0	0	1
"Solyc01g006960.2"	62	83	37	109	89	35	1	9	5	13
"Solyc01g006970.2"	17	27	11	31	29	11	7	6	0	5
"Solyc01g006980.2"	8	10	5	17	10	7	1	3	5	9
"Solyc01g006990.2"	71	75	53	103	63	49	7	43	22	50
"Solyc01g007060.2"	15	7	2	13	9	3	0	1	0	2
"Solyc01g007070.2"	0	0	1	1	1	0	0	0	0	0
"Solyc01g007090.1"	0	1	0	0	0	0	0	0	0	0
"Solyc01g007100.2"	92	143	93	160	132	74	9	49	18	79
"Solyc01g007110.2"	5174	4076	3776	7536	4704	4490	2897	6821	4806	10227
"Solyc01g007120.2"	0	0	3	2	1	0	0	0	0	0
"Solyc01g007140.2"	24	23	15	41	25	37	7	25	27	23
"Solyc01g007150.2"	102	148	92	163	122	70	6	39	25	62
"Solyc01g007160.2"	1	0	0	0	0	0	0	0	0	0
"Solyc01g007170.2"	0	1	0	1	0	0	0	0	0	0
"Solyc01g007180.2"	19	29	18	32	24	26	17	19	13	26
"Solyc01g007190.2"	3	8	2	7	3	3	5	6	2	5
"Solyc01g007210.2"	8826	7800	6456	9758	6626	9043	8364	10833	7952	16033
"Solyc01g007230.2"	5	1	4	5	5	3	4	3	5	4
"Solyc01g007240.2"	5429	5181	4494	8810	5165	3973	6083	7470	5912	8727
"Solyc01g007250.2"	51	32	34	50	35	66	47	58	52	76
"Solyc01g007270.1"	0	0	0	0	0	2	0	0	0	0
"Solyc01g007290.1"	0	0	0	1	0	0	1	0	0	0
"Solyc01g007300.1"	0	0	0	1	0	0	0	0	0	0
"Solyc01g007330.2"	0	1	1	1	1	1	4	1	0	2
"Solyc01g007340.2"	2	0	0	0	0	4	0	0	0	2
"Solyc01g007350.2"	0	0	1	0	0	0	0	0	0	0
"Solyc01g007360.2"	1	0	0	0	0	0	0	0	0	0
"Solyc01g007420.2"	0	0	0	0	0	0	0	1	0	0
"Solyc01g007460.2"	0	0	0	0	0	1	0	0	0	0
"Solyc01g007490.2"	2	0	0	2	0	1	1	0	1	1
"Solyc01g007500.2"	0	1	2	2	0	0	0	0	0	2
"Solyc01g007530.2"	0	0	0	2	0	0	0	0	0	0
"Solyc01g007540.2"	0	0	0	0	0	0	0	0	1	0
"Solyc01g007570.2"	0	0	0	0	0	0	0	0	0	1
"Solyc01g007630.2"	1	2	3	3	1	2	0	3	0	2
"Solyc01g007640.2"	3	3	5	10	6	4	4	9	3	7
"Solyc01g007660.2"	6	6	1	6	2	1	1	7	2	7
"Solyc01g007670.2"	0	0	0	0	0	0	0	0	0	1
"Solyc01g007700.2"	4	1	2	2	1	2	21	5	3	7
